source,target,weight
350628,380636,1
350628,380640,1
350628,351230,1
350628,365888,1
350628,306270,1
350628,350664,2
350628,306370,1
350628,350764,2
350628,350755,1
350628,350615,1
350628,306226,3
350628,378035,3
350628,369619,3
350628,350634,3
350628,378056,1
350628,381432,1
350628,378144,1
350628,306366,2
350628,350672,2
350628,378061,1
350628,350733,1
350628,350678,1
350628,306331,1
350628,350677,1
350628,419844,1
378063,380636,1
378063,380640,1
378063,351230,1
378063,365888,1
378063,306270,2
378063,378035,2
378063,378144,1
378063,378040,1
380636,380640,1
380636,351230,1
380636,365888,1
380640,351230,3
380640,365888,2
380640,378156,1
380640,431637,1
380640,306374,1
380640,350664,1
380640,350827,2
380640,350604,1
380640,306370,1
380640,380632,1
380640,350619,1
380640,350755,1
380640,350615,1
380640,350655,2
380640,348640,2
380640,378665,1
380640,350778,1
380640,378663,1
380640,350603,1
380640,437859,1
380640,438006,1
380640,84639,1
380640,350729,1
380640,84634,1
380640,350823,1
380640,350690,1
380640,381432,1
380640,378658,1
380640,350662,1
380640,378071,1
380640,306366,1
380640,350672,1
351230,365888,14
351230,378213,1
351230,345252,1
351230,378156,5
351230,378189,1
351230,378186,2
351230,378192,1
351230,431637,4
351230,350827,1
351230,380632,3
351230,350655,1
351230,348640,1
351230,378035,1
351230,378074,1
351230,373542,2
351230,84639,1
351230,84634,1
351230,350690,1
351230,373547,1
365888,378156,3
365888,431637,1
365888,380632,3
365888,378074,1
365888,373542,1
431642,378213,3
431642,345252,1
378213,345252,5
378213,378156,5
378213,378189,3
378213,378186,4
378213,378192,1
378213,431637,1
345252,378156,2
345252,378189,2
345252,378186,2
345252,378192,1
345252,431637,1
378156,378189,2
378156,378186,5
378156,378192,1
378156,431637,5
378189,378186,3
378189,378192,1
378189,431637,1
378186,378192,1
378186,431637,1
378192,431637,1
378192,380632,1
431637,350827,1
431637,350655,1
431637,348640,1
431637,84639,1
431637,84634,1
431637,350690,1
306270,378035,2
306270,378144,1
306270,378040,1
306374,350664,2
306374,350827,2
306374,350604,1
306374,306370,1
306374,380632,1
306374,350619,2
306374,350764,1
306374,350755,1
306374,350615,2
306374,350655,1
306374,348640,3
306374,378082,1
306374,378665,1
306374,350778,1
306374,378663,1
306374,350603,1
306374,437859,1
306374,438006,1
306374,350729,1
306374,350823,1
306374,381432,1
306374,378658,1
306374,350662,1
306374,378071,2
306374,306366,1
306374,350672,2
350664,350827,1
350664,350604,4
350664,350679,1
350664,306370,2
350664,380632,1
350664,350619,1
350664,350764,2
350664,350755,1
350664,350615,1
350664,350655,1
350664,348640,1
350664,306226,2
350664,378665,1
350664,369619,2
350664,350778,1
350664,378663,1
350664,350603,1
350664,437859,1
350664,438006,1
350664,350729,1
350664,350823,1
350664,381432,2
350664,378658,1
350664,350662,1
350664,378071,1
350664,306366,2
350664,350672,2
350664,350766,1
350664,419844,1
419852,306370,1
419852,350619,1
419852,350764,2
419852,369619,1
419852,306366,2
419852,419844,1
350827,350604,1
350827,306370,1
350827,380632,1
350827,350619,1
350827,350755,1
350827,350615,1
350827,350655,7
350827,348640,10
350827,378665,2
350827,350778,1
350827,84606,3
350827,378663,1
350827,350603,1
350827,437859,2
350827,438006,2
350827,84639,4
350827,350729,3
350827,350693,2
350827,84608,4
350827,84630,3
350827,84634,3
350827,350823,6
350827,350690,2
350827,395103,1
350827,84601,2
350827,84605,2
350827,84604,1
350827,381432,1
350827,378658,1
350827,350662,1
350827,378071,1
350827,306366,1
350827,350672,1
350604,350679,1
350604,306370,1
350604,380632,1
350604,350619,3
350604,350764,1
350604,350755,1
350604,350615,1
350604,350655,1
